阿星✨公告,#genre#
关注抖音show.star,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
📺️羊视✨阿星自制▶️,#genre#
CCTV1,http://59.52.59.197:8008/rtp/239.252.219.200:5140
CCTV1,http://59.52.59.197:8008/rtp/239.252.219.10:5140
CCTV2,http://59.52.59.197:8008/rtp/239.252.220.183:5140
CCTV3,http://59.52.59.197:8008/rtp/239.252.219.252:5140
CCTV3,http://59.52.59.197:8008/rtp/239.252.220.193:5140
CCTV4,http://59.52.59.197:8008/rtp/239.252.220.184:5140
CCTV5,http://59.52.59.197:8008/rtp/239.252.219.236:5140
CCTV5,http://59.52.59.197:8008/rtp/239.252.219.198:5140
CCTV5+,http://59.52.59.197:8008/rtp/239.252.219.72:5140
CCTV6,http://59.52.59.197:8008/rtp/239.252.219.237:5140
CCTV6,http://59.52.59.197:8008/rtp/239.252.220.195:5140
CCTV7,http://59.52.59.197:8008/rtp/239.252.220.185:5140
CCTV8,http://59.52.59.197:8008/rtp/239.252.219.253:5140
CCTV8,http://59.52.59.197:8008/rtp/239.252.220.196:5140
CCTV9,http://59.52.59.197:8008/rtp/239.252.220.186:5140
CCTV10,http://59.52.59.197:8008/rtp/239.252.220.91:5140
CCTV11,http://59.52.59.197:8008/rtp/239.252.219.78:5140
CCTV12,http://59.52.59.197:8008/rtp/239.252.220.187:5140
CCTV13,http://59.52.59.197:8008/rtp/239.252.219.139:5140
CCTV-少儿,http://59.52.59.197:8008/rtp/239.252.220.92:5140
CCTV15,http://59.52.59.197:8008/rtp/239.252.219.79:5140
CCTV16＆4K,http://59.52.59.197:8008/rtp/239.252.220.237:5140
CCTV17,http://59.52.59.197:8008/rtp/239.252.220.192:5140
CCTV4欧洲,http://59.52.59.197:8008/rtp/239.252.219.192:5140
CCTV4美洲,http://59.52.59.197:8008/rtp/239.252.219.193:5140
CGTN,http://59.52.59.197:8008/rtp/239.252.220.150:5140
CGTN英语,http://59.52.59.197:8008/rtp/239.252.219.194:5140
